"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1962","48","12/01/1962","2","NY","Buffalo","5","148","10","1","11","31","95"
"1963","3","01/19/1963","4","IA","Des Moines","2","55","1","3","6","17","28"
"1963","6","02/09/1963","8","CO","Pueblo","0","21","0","0","1","4","16"
"1963","7","02/16/1963","7","TX","El Paso","0","39","10","2","3","9","15"
"1963","25","06/22/1963","1","MA","Springfield","5","35","0","0","1","9","25"
"1964","10","03/07/1964","1","MA","Cambridge","3","31","0","0","3","10","18"
"1964","12","03/21/1964","8","CO","Colorado Springs","1","20","2","0","3","4","11"
"1964","20","05/16/1964","3","IL","Chicago","34","733","43","23","62","221","384"
"1964","20","05/16/1964","8","CO","Pueblo","0","19","0","2","0","6","11"
"1964","27","07/04/1964","3","OH","Akron","0","45","3","4","0","14","24"
"1964","35","08/29/1964","2","NY","Syracuse","1","54","6","2","1","16","29"
"1964","47","11/21/1964","5","DE","Wilimington","3","47","3","0","7","18","19"
"1965","5","02/06/1965","4","KS","Wichita","7","39","1","2","1","9","26"
"1965","7","02/20/1965","4","MN","Minneapolis","5","131","10","2","5","19","95"
"1965","33","08/21/1965","2","NJ","Newark","1","67","3","2","8","25","29"
"1965","44","11/06/1965","6","TN","Nashville","3","83","5","2","6","24","46"
"1966","6","02/12/1966","2","PA","Scranton","2","41","3","0","0","9","29"
"1966","15","04/16/1966","7","LA","Baton Rouge","0","39","2","2","6","14","15"
"1966","20","05/21/1966","5","GA","Atlanta","3","132","9","8","18","43","54"
"1966","26","07/02/1966","4","KS","Kansas City","1","30","2","3","2","5","18"
"1966","35","09/03/1966","9","CA","Long Beach","1","74","3","2","2","12","55"
"1966","37","09/17/1966","9","WA","Spokane","1","53","3","1","1","10","38"
"1966","41","10/15/1966","9","CA","San Jose","2","31","3","1","1","5","21"
"1966","47","11/26/1966","8","NM","Albuquerque","3","36","3","4","2","10","17"
"1967","7","02/18/1967","9","WA","Spokane","0","52","4","0","2","6","40"
"1967","10","03/11/1967","8","CO","Pueblo","1","30","2","0","3","6","19"
"1967","18","05/06/1967","4","MO","Kansas City","3","125","7","4","5","33","76"
"1967","19","05/13/1967","1","MA","Fall River","0","23","2","0","2","5","14"
"1967","22","06/03/1967","5","VA","Norfolk","9","49","5","4","5","19","16"
"1967","35","09/02/1967","2","PA","Scranton","0","43","3","1","1","12","26"
