"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1962","1","01/06/1962","7","OK","Tulsa","2","69","5","1","5","17","41"
"1962","2","01/13/1962","1","MA","Lynn","1","28","1","0","2","11","14"
"1962","2","01/13/1962","1","MA","Somerville","2","21","2","0","1","5","13"
"1962","2","01/13/1962","5","DC","Washington","10","220","20","8","20","72","100"
"1962","2","01/13/1962","8","CO","Colorado Springs","2","12","0","1","0","1","10"
"1962","5","02/03/1962","2","NJ","Elizabeth","2","32","5","0","0","11","16"
"1962","6","02/10/1962","1","MA","Fall River","0","31","1","1","1","8","20"
"1962","6","02/10/1962","2","NJ","Elizabeth","1","32","2","0","1","9","20"
"1962","6","02/10/1962","5","MD","Baltimore","7","261","18","10","19","93","121"
"1962","6","02/10/1962","9","WA","Spokane","2","51","3","1","1","9","37"
"1962","8","02/24/1962","3","IL","Rockford","0","39","2","0","2","8","27"
"1962","9","03/03/1962","2","PA","Scranton","4","42","1","1","0","12","28"
"1962","9","03/03/1962","7","AR","Little Rock","5","64","7","3","5","12","37"
"1962","9","03/03/1962","9","CA","Los Angeles","18","594","39","11","41","164","339"
"1962","12","03/24/1962","2","NJ","Newark","4","99","1","4","7","30","57"
"1962","12","03/24/1962","4","MO","Kansas City","4","126","11","3","9","24","79"
"1962","14","04/07/1962","1","MA","Somerville","0","10","0","0","1","2","7"
"1962","15","04/14/1962","2","NY","Buffalo","5","153","5","4","16","37","91"
"1962","15","04/14/1962","5","VA","Richmond","2","80","3","2","4","29","42"
"1962","15","04/14/1962","7","TX","Dallas","8","124","10","7","6","36","65"
"1962","15","04/14/1962","9","CA","Sacramento","4","55","4","0","4","15","32"
"1962","18","05/05/1962","4","MO","Saint Louis","6","217","14","9","10","78","106"
"1962","18","05/05/1962","7","TX","Corpus Christi","0","14","0","1","1","6","6"
"1962","18","05/05/1962","8","AZ","Phoenix","2","85","13","3","12","15","42"
"1962","19","05/12/1962","5","DE","Wilimington","0","44","5","1","2","9","27"
"1962","20","05/19/1962","4","NE","Lincoln","1","30","1","2","1","5","21"
"1962","20","05/19/1962","7","TX","San Antonio","3","97","10","7","8","22","50"
"1962","21","05/26/1962","3","IL","Peoria","0","37","4","1","1","6","25"
"1962","21","05/26/1962","5","DE","Wilimington","3","50","1","3","4","15","27"
"1962","21","05/26/1962","7","LA","New Orleans","5","187","20","3","11","61","92"
"1962","21","05/26/1962","8","CO","Colorado Springs","3","19","0","1","0","5","13"
"1962","21","05/26/1962","9","CA","Sacramento","1","51","3","0","3","18","27"
"1962","23","06/09/1962","3","OH","Cleveland","1","195","19","4","11","61","100"
"1962","23","06/09/1962","7","TX","Corpus Christi","0","18","1","0","4","1","12"
"1962","23","06/09/1962","8","NM","Albuquerque","0","29","2","3","0","10","14"
"1962","24","06/16/1962","1","MA","Cambridge","0","31","1","0","1","8","21"
"1962","25","06/23/1962","4","MO","Kansas City","9","123","9","2","5","33","74"
"1962","25","06/23/1962","6","TN","Nashville","3","64","6","2","1","22","33"
"1962","28","07/14/1962","3","IN","Gary","0","25","5","1","0","8","11"
"1962","30","07/28/1962","2","NJ","Trenton","1","39","1","2","3","14","19"
"1962","31","08/04/1962","2","NJ","Elizabeth","1","24","0","0","0","8","16"
"1962","31","08/04/1962","7","TX","Austin","8","55","2","2","5","16","30"
"1962","33","08/18/1962","1","MA","Fall River","0","19","0","0","3","1","15"
"1962","33","08/18/1962","3",NA,NA,"0","29","3","0","3","7","16"
"1962","34","08/25/1962","3","IN","South Bend","3","33","3","2","5","8","15"
"1962","34","08/25/1962","3","OH","Cincinnati","3","155","11","4","9","28","103"
"1962","35","09/01/1962","7","LA","New Orleans","6","88","14","0","4","25","45"
"1962","37","09/15/1962","1","RI","Providence","0","55","4","3","2","11","35"
"1962","37","09/15/1962","4","MO","Saint Louis","3","228","14","5","17","57","135"
"1962","37","09/15/1962","5","VA","Richmond","1","79","3","6","6","30","34"
"1962","40","10/06/1962","3","IL","Rockford","1","21","0","1","0","5","15"
"1962","40","10/06/1962","3","MI","Grand Rapids","2","45","4","1","1","10","29"
"1962","41","10/13/1962","1","CT","Waterbury","0","15","0","0","1","7","7"
"1962","41","10/13/1962","1","MA","Boston","3","233","14","6","19","62","132"
"1962","43","10/27/1962","3","OH","Toledo","1","98","3","3","5","25","62"
"1962","46","11/17/1962","4","IA","Des Moines","0","55","1","1","4","10","39"
"1962","46","11/17/1962","4","NE","Lincoln","1","28","1","2","0","4","21"
"1962","49","12/08/1962","2","PA","Scranton","2","39","1","0","1","15","22"
"1962","51","12/22/1962","9","CA","Pasadena","1","36","3","0","3","7","23"
"1962","52","12/29/1962","3","IN","Fort Wayne","4","29","2","2","1","10","14"
"1963","2","01/12/1963","3","IN","Gary","3","43","4","1","4","9","25"
"1963","2","01/12/1963","4","KS","Wichita","2","63","7","3","7","9","37"
"1963","5","02/02/1963","1","MA","Lynn","1","26","3","0","1","11","11"
"1963","5","02/02/1963","4","KS","Kansas City","8","61","5","2","5","20","29"
"1963","6","02/09/1963","1","MA","Cambridge","0","27","0","0","2","7","18"
"1963","8","02/23/1963","3","OH","Akron","1","58","6","1","2","11","38"
"1963","10","03/09/1963","4","KS","Wichita","3","59","6","0","5","9","39"
"1963","10","03/09/1963","7","TX","Fort Worth","9","102","8","4","9","19","62"
"1963","11","03/16/1963","1","MA","Springfield","9","64","3","0","4","13","44"
"1963","13","03/30/1963","1","CT","New Haven","3","57","4","0","3","18","32"
"1963","13","03/30/1963","7","TX","Dallas","12","146","10","10","11","38","77"
"1963","14","04/06/1963","1","MA","Lowell","2","35","0","1","0","8","26"
"1963","14","04/06/1963","8","NM","Albuquerque","1","44","11","1","3","9","20"
"1963","16","04/20/1963","7","LA","New Orleans","6","190","16","10","16","57","91"
"1963","17","04/27/1963","2","PA","Scranton","4","54","0","1","0","17","36"
"1963","17","04/27/1963","3","IN","South Bend","4","41","2","0","3","10","26"
"1963","17","04/27/1963","5","FL","Jacksonville","3","62","4","6","8","20","24"
"1963","17","04/27/1963","6",NA,NA,"8","81","7","2","6","21","45"
"1963","18","05/04/1963","3",NA,NA,"0","19","3","3","0","3","10"
"1963","21","05/25/1963","2","NJ","Jersey City","2","67","2","2","9","23","31"
"1963","22","06/01/1963","4","KS","Kansas City","2","38","3","2","0","11","22"
"1963","23","06/08/1963","7","AR","Little Rock","2","60","3","7","4","16","30"
"1963","24","06/15/1963","7","TX","Dallas","5","143","18","5","15","46","59"
"1963","25","06/22/1963","1","MA","Springfield","5","35","0","0","1","9","25"
"1963","26","06/29/1963","3","OH","Dayton","0","77","2","4","4","27","40"
"1963","27","07/06/1963","2","NJ","Paterson","5","60","4","2","4","19","31"
"1963","27","07/06/1963","4","KS","Kansas City","3","28","3","1","2","8","14"
"1963","27","07/06/1963","6","AL","Birmingham","1","67","8","4","5","23","27"
"1963","27","07/06/1963","7","TX","El Paso","2","29","3","0","4","9","13"
"1963","28","07/13/1963","1","CT","Waterbury","0","23","3","1","2","2","15"
"1963","29","07/20/1963","2","PA","Scranton","0","32","2","0","0","11","19"
"1963","30","07/27/1963","2","NY","Buffalo","5","138","9","4","8","40","77"
"1963","30","07/27/1963","2","PA","Scranton","2","47","3","2","2","12","28"
"1963","30","07/27/1963","4","KS","Wichita","3","59","1","0","2","9","47"
"1963","30","07/27/1963","9","CA","Los Angeles","13","513","24","10","39","147","293"
"1963","31","08/03/1963","2","NY","Albany","2","52","4","2","2","16","28"
"1963","31","08/03/1963","8","UT","Salt Lake City","1","55","3","4","5","9","34"
"1963","34","08/24/1963","2","PA","Allentown","1","30","2","1","1","9","17"
"1963","34","08/24/1963","3","IN","South Bend","2","37","1","2","1","13","20"
"1963","35","08/31/1963","2","NY","Syracuse","0","59","8","1","2","10","38"
"1963","35","08/31/1963","3","IL","Chicago","36","672","37","21","57","189","368"
"1963","35","08/31/1963","8","CO","Colorado Springs","3","28","5","0","3","7","13"
"1963","36","09/07/1963","2","PA","Scranton","0","26","0","0","1","9","16"
"1963","37","09/14/1963","7","OK","Tulsa","2","72","8","2","6","16","40"
